fw	class	nMethods	nPorted
Flexo	FFStreamVideoFig	39	0
Flexo	FFConsumerSharePanel	39	0
Flexo	FFShareExportPanelsHelper	39	0
Flexo	FFSendPackageToCompressorPanel	39	0
Helium	HGXForm	39	0
ProChannel	OZChannelColorNoAlpha	38	0
Ozone	OZTimingMarkers	38	0
Ozone	OZTimelineViewMulti	38	0
Flexo	ausdk::AUBufferList	38	0
Flexo	FFRefColorMatchInfoContainer	38	0
Flexo	FFMultiAngleInfo	38	0
Flexo	FFSharedLock	38	0
Flexo	iMovieScalableTextLayer	38	0
Flexo	FFSemanticMask	38	0
Flexo	FFSemanticMaskPreviewOSC	38	0
Flexo	FFTrackerAnalyzerController	38	0
Flexo	FFImageRep	38	0
Flexo	FFDataListLanesViewController	38	0
Flexo	FFShareDestinationYouTubeController	38	0
Flexo	FFTransitionAttributesPopoverController	38	0
Flexo	FFPTPDownloadManager	38	0
Helium	HGHWBlend	38	0
ProChannel	CHChannelFolder	37	0
ProCore	PCAtomBoxFile	37	0
ProCore	PCApp	37	0
Ozone	OZApplication	37	0
Ozone	OZMaterialFlatLayer	37	0
Ozone	OZLight	37	0
Ozone	OZLinkChannelExpression	37	0
Ozone	OZAudioWaveform	37	0
Ozone	VHOutlineView	37	0
Ozone	OZExposeOverlay	37	0
Flexo	FFAudioClipComponentsLayoutMap	37	0
Flexo	FFAudioDuckingLoudnessManager	37	0
Flexo	FFCinematicScriptItem	37	0
Flexo	FFNavViewController	37	0
Flexo	FFTimelineStoryView	37	0
Flexo	FFInspectorContainerController	37	0
Flexo	FFInspectorModuleColorChannels	37	0
Flexo	FFRiggedChannelFolderLabelController	37	0
Flexo	FFCinematicEditorLayer	37	0
Flexo	FFConsumerCropTool	37	0
Flexo	FFFaceSelectionTool	37	0
Flexo	FFWhiteBalanceSelectionTool	37	0
Flexo	FFConsumerShareInfoController	37	0
Flexo	FFDestAutoReframe	37	0
Flexo	FFFaceDetectionInfoCollection	37	0
Helium	HGTransform	37	0
ProCore	ProCore::Private	36	0
ProCore	Json::OurReader	36	0
Ozone	non-virtual thunk to OZBehavior	36	0
Ozone	OZRig	36	0
Ozone	OZCurveEditorModule	36	0
Ozone	OZFreeHandSplineTool	36	0
Flexo	MXF::MXFEssenceContainer	36	0
Flexo	FFStorageLocation	36	0
Flexo	FFImportFileSystemNodeData	36	0
Flexo	FFEffectBundleSnapshot	36	0
Flexo	FFColorCorrectionEffect	36	0
Flexo	FFSourceVideo	36	0
Flexo	FFEffectLibraryModule	36	0
Flexo	FFCustomOverlayRepositoryController	36	0
Flexo	FFColorMatchTool	36	0
Flexo	FFAssetImportManager	36	0
Flexo	FFMotionSettingsTool	36	0
Flexo	FFColorSpaceCache	36	0
Flexo	FFFileCopyOperation	36	0
Helium	HGProgramDescriptor	36	0
ProCore	PCURL	35	0
ProCore	PCAtomMetadataHandler	35	0
Ozone	OZTimingMarkersBase	35	0
Ozone	OZRulersOverlay	35	0
Ozone	OZDFRDocumentFunctionBarManager	35	0
Ozone	OZAudioNodeWrapper	35	0
Flexo	FFAudioComponentsLayoutItem	35	0
Flexo	FFEventRecord	35	0
Flexo	InfoForTracker	35	0
Flexo	FFRoleSet	35	0
Flexo	FFTimelineIndex	35	0
Flexo	FFHeS3DAdjustEffect	35	0
Flexo	iMovieTextLayer	35	0
Flexo	SquareImagePicker	35	0
Flexo	FFInnerOuterGroupEffect	35	0
Flexo	FFSourceVideoEffect	35	0
Flexo	FFImportMediaSidebarMIORADVolumeNode	35	0
Flexo	FFColorSelectionOSC	35	0
Flexo	FFComponentOSC	35	0
Flexo	FFMCSwitcherVideoSource	35	0
Flexo	FFTimelineLaneLayer	35	0
Flexo	FFAdjustmentTool	35	0
Flexo	FFVideoAnalysisCollatedItem	35	0
Flexo	FFXMLTranslationTask	35	0
Flexo	MXFSourceTrack	35	0
